palavra,categoria gramatical,fonética
bi·o·ge·né·ti·co,adjetivo,bjɔ.ʒɨ.nˈɛ.ti.ku
bi·o·gra·fa·do,adjetivo,bju.gɾɐ.fˈa.du
bi·o·gra·fa·do,nome masculino,bju.gɾɐ.fˈa.du
bi·o·gra·far,verbo,bju.gɾɐ.fˈaɾ
bi·o·gra·fi·a,nome feminino,bju.gɾɐ.fˈi.ɐ
bi·o·gra·fi·ca·men·te,advérbio,bju.gɾa.fi.kɐ.mˈẽ.tɨ
bi·o·grá·fi·co,adjetivo,bju.gɾˈa.fi.ku
bi·o·gra·fis·ta,nome masculino,bju.gɾɐ.fˈiʃ.tɐ ou bju.gɾɐ.fˈiʃ.tɐ
bi·ó·gra·fo,nome masculino,bjˈɔ.gɾɐ.fu
bi·o·lo·gi·a,nome feminino,bju.lu.ʒˈi.ɐ
bi·o·lo·gi·ca·men·te,advérbio,bju.lɔ.ʒi.kɐ.mˈẽ.tɨ
bi·o·ló·gi·co,adjetivo,bju.lˈɔ.ʒi.ku
bi·o·lo·gis·ta,nome masculino,bju.lu.ʒˈiʃ.tɐ
bi·o·lo·gis·ta,nome feminino,bju.lu.ʒˈiʃ.tɐ
bi·ó·lo·go,nome masculino,bjˈɔ.lu.gu
bi·o·ma,nome masculino,bjˈo.mɐ
bi·o·mas·sa,nome feminino,bjɔ.mˈa.sɐ
bi·om·bo,nome masculino,bjˈõ.bu
bi·o·me·câ·ni·ca,nome feminino,bjɔ.mɨ.kˈɐ.ni.kɐ
bi·o·me·câ·ni·co,adjetivo,bjɔ.mɨ.kˈɐ.ni.ku
bi·o·me·câ·ni·co,nome masculino,bjɔ.mɨ.kˈɐ.ni.ku
bi·o·me·di·ci·na,nome feminino,bjɔ.mɨ.di.sˈi.nɐ
bi·o·mé·di·co,adjetivo,bjɔ.mˈɛ.di.ku
bi·o·mé·tri·co,adjetivo,bjɔ.mˈɛ.tɾi.ku
bi·o·mór·fi·co,adjetivo,bjɔ.mˈɔɾ.fi.ku
bi·ô·ni·co,adjetivo,bjˈo.ni.ku
bi·ó·ni·co,adjetivo,bjˈɔ.ni.ku ou bjˈɔ.ni.ku
bi·óp·si·a,nome feminino,bjˈɔp.sjɐ
bi·op·si·a,nome feminino,bjɔp.sˈi.ɐ
bi·óp·ti·co,adjetivo,bi.ˈɔp.ti.ku
bi·o·quí·mi·ca,nome feminino,bjɔ.kˈi.mi.kɐ
bi·o·quí·mi·co,adjetivo,bjɔ.kˈi.mi.ku
bi·o·quí·mi·co,nome masculino,bjɔ.kˈi.mi.ku
bi·or·rit·mo,nome masculino,bjɔ.ʀˈit.mu
bi·os·fe·ra,nome feminino,bjɔʃ.fˈɛ.ɾɐ
bi·o·ta,nome feminino,bjˈɔ.tɐ
bi·o·tec·no·lo·gi·a,nome feminino,bjɔ.tɛk.nu.lu.ʒˈi.ɐ
bi·o·tec·no·ló·gi·co,adjetivo,bjɔ.tɛk.nu.lˈɔ.ʒi.ku
bi·o·té·ri·o,nome masculino,bjɔ.tˈɛ.ɾju
bi·ó·ti·co,adjetivo,bi.ˈɔ.ti.ku
bi·ó·ti·po,nome masculino,bjˈɔ.ti.pu
bi·o·ti·te,nome feminino,bi.ɔ.tˈi.tɨ
bi·ó·to·po,nome masculino,bjˈɔ.tu.pu
bi·ó·xi·do,nome masculino,bjˈɔk.si.du
bip,nome masculino,
bi·pa·ri·e·tal,adjetivo,bi.pɐ.ɾjɛ.tˈaɫ
bi·par·ti·ção,nome feminino,bi.pɐɾ.ti.sˈɐ̃w
bi·par·ti·dá·ri·o,adjetivo,bi.pɐɾ.ti.dˈa.ɾju
bi·par·ti·da·ris·mo,nome masculino,bi.pɐɾ.ti.dɐ.ɾˈiʒ.mu
bi·par·ti·do,adjetivo,bi.pɐɾ.tˈi.du
bi·par·tir,verbo,bi.pɐɾ.tˈiɾ
bi·pa·ten·te,adjetivo,bi.pɐ.tˈẽ.tɨ
bi·pé,nome masculino,bi.pˈɛ
bi·pe,nome masculino,bˈi.pɨ
bi·pe·dal,adjetivo,bi.pɨ.dˈaɫ
bí·pe·de,nome masculino,bˈi.pɨ.dɨ ou bˈi.pɨ.dɨ
bí·pe·de,adjetivo,bˈi.pɨ.dɨ
bi·pe·na·do,adjetivo,bi.pɨ.nˈa.du
bi·pe·ne,nome feminino,bi.pˈɛ.nɨ
bi·pe·ne,adjetivo,bi.pˈɛ.nɨ
bi·per·fu·ra·do,adjetivo,bi.pɨɾ.fu.ɾˈa.du
bi·pi·ra·mi·dal,adjetivo,bi.pi.ɾɐ.mi.dˈaɫ
bi·pi·râ·mi·de,nome feminino,bi.pi.ɾˈɐ.mi.dɨ
bi·pla·no,adjetivo,bi.plˈɐ.nu
bi·pla·no,nome masculino,bi.plˈɐ.nu
bi·po·lar,adjetivo,bi.pu.lˈaɾ
bi·po·la·ri·da·de,nome feminino,bi.pu.lɐ.ɾi.dˈa.dɨ
bi·po·la·ri·za·ção,nome feminino,bi.pu.lɐ.ɾi.zɐ.sˈɐ̃w
bi·po·la·ri·za·do,adjetivo,bi.pu.lɐ.ɾi.zˈa.du
bi·po·la·ri·zar,verbo,bi.pu.lɐ.ɾi.zˈaɾ
bi·po·ro·so,adjetivo,bi.pu.ɾˈo.zu
bi·pris·ma,nome masculino,bi.pɾˈiʒ.mɐ
bi·pris·má·ti·co,adjetivo,bi.pɾiʒ.mˈa.ti.ku
bi·qua·dra·do,adjetivo,bi.kwɐ.dɾˈa.du
bi·quart·zo,nome masculino,bi.kwˈaɾt.zu
bi·quei·ra,nome feminino,bi.kˈɐj.ɾɐ
bi·quei·ra·da,nome feminino,bi.kɐj.ɾˈa.dɐ
bi·quei·rão,nome masculino,bi.kɐj.ɾˈɐ̃w
bi·quei·ro,adjetivo,bi.kˈɐj.ɾu
bi·qui·nho,nome masculino,bi.kˈi.ɲu
bi·quo·ti·di·a·no,adjetivo,bi.kwu.ti.djˈɐ.nu
bir·ban·te,nome masculino,biɾ.bˈɐ̃.tɨ
bir·ma·nês,adjetivo,biɾ.mɐ.nˈeʃ
bir·ma·nês,nome masculino,biɾ.mɐ.nˈeʃ
bir·ma·ne·sa,nome feminino,biɾ.mɐ.nˈe.zɐ
birr,nome masculino,bi.ʀɨ
bir·ra,nome feminino,bˈi.ʀɐ
bir·ra·da,nome feminino,bi.ʀˈa.dɐ
bir·rar,verbo,bi.ʀˈaɾ
bir·re,nome masculino,bˈi.ʀɨ
bir·re·a·tor,adjetivo,bi.ʀjɐ.tˈoɾ
bir·re·a·tor,nome masculino,bi.ʀjɐ.tˈoɾ
bir·re·frac·ção,nome feminino,bi.ʀɨ.fɾɐk.sˈɐ̃w
bir·ren·to,adjetivo,bi.ʀˈẽ.tu
bir·ren·to,nome masculino,bi.ʀˈẽ.tu
bis,advérbio,bˈiʃ
bis,nome masculino,bˈiʃ
bi·sa·do,adjetivo,bi.zˈa.du
bi·sar,verbo,bi.zˈaɾ
bi·sar·ma,nome feminino,bi.zˈaɾ.mɐ
bí·sa·ro,adjetivo,bˈi.zɐ.ɾu
bí·sa·ro,nome masculino,bˈi.zɐ.ɾu
bi·sa·vó,nome feminino,bi.zɐ.vˈɔ
bi·sa·vô,nome masculino,bi.zɐ.vˈo
bis·bi·lho·tar,verbo,biʒ.bi.ʎu.tˈaɾ
bis·bi·lho·tei·ro,nome masculino,biʒ.bi.ʎu.tˈɐj.ɾu
bis·bi·lho·tei·ro,adjetivo,biʒ.bi.ʎu.tˈɐj.ɾu
bis·bi·lho·ti·ce,nome feminino,biʒ.bi.ʎu.tˈi.sɨ
bis·ca,nome feminino,bˈiʃ.kɐ
bis·ca·i·nha,nome feminino,biʃ.kɐ.ˈi.ɲɐ
bis·ca·i·nho,nome masculino,biʃ.kɐ.ˈi.ɲu
bis·ca·i·nho,adjetivo,biʃ.kɐ.ˈi.ɲu
bis·cai·o,adjetivo,biʃ.kˈaj.u
bis·car,verbo,biʃ.kˈaɾ
bis·ca·tar,verbo,biʃ.kɐ.tˈaɾ
bis·ca·te,nome masculino,biʃ.kˈa.tɨ
bis·ca·tei·ro,nome masculino,biʃ.kɐ.tˈɐj.ɾu
bis·co,adjetivo,bˈiʃ.ku
bis·coi·tar,verbo,biʃ.koj.tˈaɾ
bis·coi·to,nome masculino,biʃ.kˈoj.tu
bi·sel,nome masculino,bi.zˈɛɫ
bi·se·la·do,adjetivo,bi.zɨ.lˈa.du
bi·se·lar,verbo,bi.zɨ.lˈaɾ
bis·mu·to,nome masculino,biʒ.mˈu.tu
bis·na·ga,nome feminino,biʒ.nˈa.gɐ
bis·na·gar,verbo,biʒ.nɐ.gˈaɾ
bis·ne·to,nome masculino,biʒ.nˈɛ.tu
bi·so·nha·men·te,advérbio,bi.zu.ɲa.mˈẽ.tɨ
bi·so·nho,adjetivo,bi.zˈo.ɲu
bi·son·te,nome masculino,bi.zˈõ.tɨ
bis·pa·do,nome masculino,biʃ.pˈa.du
bis·par,verbo,biʃ.pˈaɾ
bis·po,nome masculino,bˈiʃ.pu
bis·po-con·de,nome masculino,bˌiʃ.pu.kˈõ.dɨ
bis·sa·pa,nome feminino,bi.sˈa.pɐ
bis·se·ção,nome feminino,bi.sɛ.sˈɐ̃w
bis·sec·ção,nome feminino,bi.sɛk.sˈɐ̃w
bis·sec·triz,nome feminino,bi.sɛ.tɾˈiʃ
bis·se·cu·lar,adjetivo,bi.sɨ.ku.lˈaɾ
bis·seg·men·ta·ção,nome feminino,bi.sɛg.mẽ.tɐ.sˈɐ̃w
bis·seg·men·tar,verbo,bi.sɛg.mẽ.tˈaɾ
bis·se·ma·nal,adjetivo,bi.sɨ.mɐ.nˈaɫ
bis·se·ma·nal·men·te,advérbio,bi.sɨ.mɐ.naɫ.mˈẽ.tɨ ou bi.sɨ.mɐ.naɫ.mˈẽ.tɨ
bis·se·ma·ná·ri·o,nome masculino,bi.sɨ.mɐ.nˈa.ɾju
bis·se·mes·tral,adjetivo,bi.sɨ.mɨʃ.tɾˈaɫ
bis·se·mes·tral·men·te,advérbio,bi.sɨ.mɨʃ.tɾaɫ.mˈẽ.tɨ
bis·se·ri·ar,verbo,bi.sɨ.ɾjˈaɾ
bis·se·tor,adjetivo,bi.sɛ.tˈoɾ
bis·se·tor,nome masculino,bi.sɛ.tˈoɾ
bis·se·triz,nome feminino,bi.sɛ.tɾˈiʃ
bis·se·xo,adjetivo,bi.sˈɛk.su
bis·sex·to,nome masculino,bi.sˈɐʃ.tu
bis·sex·to,adjetivo,bi.sˈɐʃ.tu
bis·se·xu·a·do,adjetivo,bi.sɛk.swˈa.du
bis·se·xu·al,adjetivo,bi.sɛk.swˈaɫ
bis·se·xu·al,nome masculino,bi.sɛk.swˈaɫ
bis·se·xu·al,nome feminino,bi.sɛk.swˈaɫ
bis·se·xu·a·li·da·de,nome feminino,bi.sɛk.swɐ.li.dˈa.dɨ
bis·se·xu·al·men·te,advérbio,bi.sɛk.swaɫ.mˈẽ.tɨ ou bi.sɛk.swaɫ.mˈẽ.tɨ
bis·si·li·ca·to,nome masculino,bi.si.li.kˈa.tu
bis·sul·ca·do,adjetivo,bi.suɫ.kˈa.du
bis·sul·co,adjetivo,bi.sˈuɫ.ku
bis·sul·fa·to,nome masculino,bi.suɫ.fˈa.tu
bis·sul·fi·to,nome masculino,bi.suɫ.fˈi.tu
bis·sul·fu·re·to,nome masculino,bi.suɫ.fu.ɾˈe.tu
bis·tu·ri,nome masculino,biʃ.tu.ɾˈi
bit,nome masculino,
bi·tem·po·ral,adjetivo,bi.tẽ.pu.ɾˈaɫ
bit·map,nome masculino,
bi·to·la,nome feminino,bi.tˈɔ.lɐ
bi·to·lar,verbo,bi.tu.lˈaɾ
bi·to·nal,adjetivo,bi.tu.nˈaɫ
bi·to·na·li·da·de,nome feminino,bi.tu.nɐ.li.dˈa.dɨ
bi·ton·ga,adjetivo,bi.tˈõ.gɐ
bi·ton·ga,nome masculino,bi.tˈõ.gɐ ou bi.tˈõ.gɐ
bi·to·que,nome masculino,bi.tˈɔ.kɨ
bi·tran·si·ti·vo,adjetivo,bi.tɾɐ̃.zi.tˈi.vu
bi·tri·bu·ta·ção,nome feminino,bi.tɾi.bu.tɐ.sˈɐ̃w
bi·tu,nome masculino,bi.tˈu
bi·tu·ca,nome feminino,bi.tˈu.kɐ
biu·ní·vo·co,adjetivo,bju.nˈi.vu.ku
bi·va·car,verbo,bi.vɐ.kˈaɾ
bi·va·lên·ci·a,nome feminino,bi.vɐ.lˈẽ.sjɐ
bi·va·len·te,adjetivo,bi.vɐ.lˈẽ.tɨ
bi·va·len·te,nome masculino,bi.vɐ.lˈẽ.tɨ
bi·val·ve,adjetivo,bi.vˈaɫ.vɨ
bi·val·ve,nome masculino,bi.vˈaɫ.vɨ
bi·val·vu·lar,adjetivo,bi.vaɫ.vu.lˈaɾ
bi·va·que,nome masculino,bi.vˈa.kɨ
bi·va·ri·á·vel,adjetivo,bi.vɐ.ɾjˈa.vɛɫ
bi·ve·no·so,adjetivo,bi.vɨ.nˈo.zu
bi·vi·á·ri·o,adjetivo,bi.vjˈa.ɾju
bi·zân·ci·o,nome masculino,bi.zˈɐ̃.sju
bi·zan·ti·na,nome feminino,bi.zɐ̃.tˈi.nɐ
bi·zan·ti·ni·ce,nome feminino,bi.zɐ̃.ti.nˈi.sɨ
bi·zan·ti·nis·mo,nome masculino,bi.zɐ̃.ti.nˈiʒ.mu
bi·zan·ti·no,nome masculino,bi.zɐ̃.tˈi.nu
bi·zan·ti·no,adjetivo,bi.zɐ̃.tˈi.nu
bi·zar·ra·men·te,advérbio,bi.zɐ.ʀɐ.mˈẽ.tɨ
bi·zar·ri·a,nome feminino,bi.zɐ.ʀˈi.ɐ
bi·zar·ri·ce,nome feminino,bi.zɐ.ʀˈi.sɨ
bi·zar·ro,adjetivo,bi.zˈa.ʀu
blá-blá-'blá,nome masculino,blˌa.blˌa.blˈa ou blˌa.blˌa.blˈa
blac·kout,nome masculino,
bla·gue,nome feminino,blˈa.gɨ
blas·fe·ma,nome feminino,blɐʃ.fˈe.mɐ
blas·fe·mar,verbo,blɐʃ.fɨ.mˈaɾ
blas·fe·ma·tó·ri·o,adjetivo,blɐʃ.fɨ.mɐ.tˈɔ.ɾju
blas·fé·mi·a,nome feminino,blɐʃ.fˈɛ.mjɐ
blas·fê·mi·a,nome feminino,blɐʃ.fˈe.mjɐ
blas·fe·mo,nome masculino,blɐʃ.fˈe.mu
blas·fe·mo,adjetivo,blɐʃ.fˈe.mu
blau,adjetivo,blˈaw
blau,nome masculino,blˈaw
bla·zer,nome masculino,
ble·fe,nome masculino,blˈɛ.fɨ
blen·da,nome feminino,blˈẽ.dɐ
ble·nor·ra·gi·a,nome feminino,blɨ.nɔ.ʀɐ.ʒˈi.ɐ
bli,nome masculino,blˈi
blin·da·do,nome masculino,blĩ.dˈa.du
blin·da·do,adjetivo,blĩ.dˈa.du
blin·da·gem,nome feminino,blĩ.dˈa.ʒɐ̃j
blin·dar,verbo,blĩ.dˈaɾ
blis·ter,nome masculino,bliʃ.tˈɛɾ
blo·ca·gem,nome feminino,blu.kˈa.ʒɐ̃j
blo·car,verbo,blu.kˈaɾ
block·bus·ter,nome masculino,
blo·co,nome masculino,blˈɔ.ku
blo·que·a·do,adjetivo,blu.kjˈa.du
blo·que·a·dor,adjetivo,blu.kjɐ.dˈoɾ
blo·que·a·dor,nome masculino,blu.kjɐ.dˈoɾ
blo·que·a·do·ra,nome feminino,blu.kjɐ.dˈo.ɾɐ
blo·que·an·te,adjetivo,blu.kjˈɐ̃.tɨ
blo·que·ar,verbo,blu.kjˈaɾ
blo·quei·o,nome masculino,blu.kˈɐj.u
blues,nome masculino,
bluff,nome masculino,
blu·sa,nome feminino,blˈu.zɐ
blu·são,nome masculino,blu.zˈɐ̃w
blush,nome masculino,
bo·a,nome feminino,bˈo.ɐ
bo·a-fé,nome feminino,bˌo.ɐ.fˈɛ
bo·a-noi·te,nome feminino,bˌo.ɐ.nˈoj.tɨ
bo·a-no·va,nome feminino,bˌo.ɐ.nˈɔ.vɐ
bo·a-tar·de,nome feminino,bˌo.ɐ.tˈaɾ.dɨ
bo·al,nome masculino,bwˈaɫ
bo·a·men·te,advérbio,bwa.mˈẽ.tɨ
bo·as-fes·tas,nome feminino,bˌo.ɐʃ.fˈɛʃ.tɐʃ
bo·as-vin·das,nome feminino,bˌo.ɐʒ.vˈĩ.dɐʃ
bo·a·tar,verbo,bwɐ.tˈaɾ
bo·a·ta·ri·a,nome feminino,bwɐ.tɐ.ɾˈi.ɐ
bo·a·to,nome masculino,bwˈa.tu
bo·a·zi·nha,nome feminino,bwɐ.zˈi.ɲɐ
bo·a·zo·na,nome feminino,bwɐ.zˈo.nɐ
bo·ba,nome feminino,bˈo.bɐ
bo·ba·gem,nome feminino,bu.bˈa.ʒɐ̃j
bo·bar,verbo,bu.bˈaɾ
bo·bi·na,nome feminino,bɔ.bˈi.nɐ
bo·bi·na·gem,nome feminino,bɔ.bi.nˈa.ʒɐ̃j
bo·bi·nar,verbo,bɔ.bi.nˈaɾ
bo·bi·ne,nome feminino,bɔ.bˈi.nɨ
bo·bo,nome masculino,bˈo.bu
bo·bo,adjetivo,bˈo.bu
bo·bó,nome masculino,bu.bˈɔ
bo·bo·ca,adjetivo,bɔ.bˈɔ.kɐ
bo·ca,nome feminino,bˈo.kɐ
bo·ça,nome feminino,bˈo.sɐ
bo·ca de in·cên·di·o,nome feminino,bˌo.kɐ.dɨ.ĩ.sˈẽ.dju
bo·ca de si·no,nome masculino,bˌo.kɐ.dɨ.sˈi.nu
bo·ca de si·no,adjetivo,bˌo.kɐ.dɨ.sˈi.nu
bo·ca·di·nho,nome masculino,bu.kɐ.dˈi.ɲu
bo·ca·do,nome masculino,bu.kˈa.du
bo·çal,nome masculino,bu.sˈaɫ
bo·çal,adjetivo,bu.sˈaɫ
bo·cal,nome masculino,bu.kˈaɫ
bo·çal,nome feminino,bu.sˈaɫ
bo·ça·li·da·de,nome feminino,bu.sɐ.li.dˈa.dɨ
bo·car,verbo,bu.kˈaɾ
bo·çar,verbo,bu.sˈaɾ
bo·car·ra,nome feminino,bu.kˈa.ʀɐ
bo·cas,nome masculino,bˈo.kɐʃ ou bˈo.kɐʃ
bo·ce·jar,verbo,bu.sɨ.ʒˈaɾ
bo·ce·jo,nome masculino,bu.sˈɐ.ʒu
bo·ce·ta,nome feminino,bu.sˈe.tɐ
bo·cha,nome feminino,bˈɔ.ʃɐ
bo·che,adjetivo,bˈɔ.ʃɨ
bo·che,nome masculino,bˈɔ.ʃɨ ou bˈɔ.ʃɨ
bo·che·cha,nome feminino,bu.ʃˈɐ.ʃɐ
bo·che·char,verbo,bu.ʃɨ.ʃˈaɾ
bo·che·cho,nome masculino,bu.ʃˈɐ.ʃu
bo·che·chu·do,adjetivo,bu.ʃɨ.ʃˈu.du
bó·ci·o,nome masculino,bˈɔ.sju
bo·da,nome feminino,bˈo.dɐ
bo·de,nome masculino,bˈɔ.dɨ
bo·de·ga,nome feminino,bu.dˈɛ.gɐ
bo·di·ão,nome masculino,bu.djˈɐ̃w
bo·do,nome masculino,bˈo.du
bo·dum,nome masculino,bu.dˈũ
bo·dy,nome masculino,
bo·dy-buil·ding,nome masculino,
bo·dy·board,nome masculino,
bo·ei·ra,nome feminino,bwˈɐj.ɾɐ
bo·é·mi·a,nome feminino,bwˈɛ.mjɐ
bo·ê·mi·a,nome feminino,bwˈe.mjɐ
bo·e·mi·a·men·te,advérbio,bu.ɛ.mja.mˈẽ.tɨ
bo·é·mi·o,nome masculino,bwˈɛ.mju
bo·ê·mi·o,nome masculino,bwˈe.mju
bo·é·mi·o,adjetivo,bwˈɛ.mju
bó·er,adjetivo,bˈɔ.ɨɾ
bó·er,nome masculino,bˈɔ.ɨɾ
bó·er,nome feminino,bˈɔ.ɨɾ
bo·far,verbo,bu.fˈaɾ
bo·fe,nome masculino,bˈɔ.fɨ
bo·fes,nome masculino,bˈɔ.fɨʃ
bo·fe·ta·da,nome feminino,bu.fɨ.tˈa.dɐ
bo·fe·tão,nome masculino,bu.fɨ.tˈɐ̃w
bó·fi·a,nome feminino,bˈɔ.fjɐ ou bˈɔ.fjɐ
bo·ga,nome feminino,bˈɔ.gɐ
bo·gar,verbo,bu.gˈaɾ
boi,nome masculino,bˈoj
boi·a,nome feminino,bˈɔj.ɐ
boi·a·da,nome feminino,boj.ˈa.dɐ
boi·ão,nome masculino,boj.ˈɐ̃w
boi·ar,verbo,boj.ˈaɾ
boi·ar·do,nome masculino,boj.ˈaɾ.du
boi·ça,nome feminino,bˈoj.sɐ
boi·çar,verbo,boj.sˈaɾ
boi·co·ta·do,adjetivo,boj.ku.tˈa.du
boi·co·ta·gem,nome feminino,boj.ku.tˈa.ʒɐ̃j
boi·co·tar,verbo,boj.ku.tˈaɾ
boi·co·te,nome masculino,boj.kˈɔ.tɨ
boi·ei·ra,nome feminino,boj.ˈɐj.ɾɐ
boi·ei·ro,adjetivo,boj.ˈɐj.ɾu
boi·ei·ro,nome masculino,boj.ˈɐj.ɾu
boi·na,nome feminino,bˈɔj.nɐ
boî·te,nome feminino,
bo·ja·dor,adjetivo,bu.ʒɐ.dˈoɾ
bo·ja·dor,nome masculino,bu.ʒɐ.dˈoɾ
bo·jar,verbo,bu.ʒˈaɾ
bo·jar·da,nome feminino,bu.ʒˈaɾ.dɐ
bo·jo,nome masculino,bˈo.ʒu
bo·ju·do,adjetivo,bu.ʒˈu.du
bo·la,nome feminino,bˈɔ.lɐ
bo·la·cha,nome feminino,bu.lˈa.ʃɐ
bo·la·chu·do,adjetivo,bu.lɐ.ʃˈu.du
bo·la·da,nome feminino,bu.lˈa.dɐ
bo·la·do,adjetivo,bu.lˈa.du
bo·lan·das,nome feminino,bu.lˈɐ̃.dɐʃ
bo·la·nha,nome feminino,bu.lˈɐ.ɲɐ
bo·lar,verbo,bu.lˈaɾ
bo·las,nome masculino,bˈɔ.lɐʃ
bo·las,nome feminino,bˈɔ.lɐʃ
bol·bo,nome masculino,bˈoɫ.bu
bol·che·vi·que,nome masculino,boɫ.ʃɨ.vˈi.kɨ
bol·che·vi·que,adjetivo,boɫ.ʃɨ.vˈi.kɨ
bol·che·vi·que,nome feminino,boɫ.ʃɨ.vˈi.kɨ
bol·che·vis·mo,nome masculino,boɫ.ʃɨ.vˈiʒ.mu
bol·che·vis·ta,nome masculino,boɫ.ʃɨ.vˈiʃ.tɐ
bol·che·vis·ta,nome feminino,boɫ.ʃɨ.vˈiʃ.tɐ
bol·che·vis·ta,adjetivo,boɫ.ʃɨ.vˈiʃ.tɐ
bol·che·vi·za·ção,nome feminino,boɫ.ʃɨ.vi.zɐ.sˈɐ̃w
bo·le·ar,verbo,bu.ljˈaɾ
bo·lei·a,nome feminino,bu.lˈɐj.ɐ
bo·le·ro,nome masculino,bu.lˈɛ.ɾu
bo·le·ta,nome feminino,bu.lˈe.tɐ
bo·le·tar,verbo,bu.lɨ.tˈaɾ
bo·le·tim,nome masculino,bu.lɨ.tˈĩ
bo·le·to,nome masculino,bu.lˈe.tu
bo·léu,nome masculino,bu.lˈɛw
bo·lha,nome feminino,bˈo.ʎɐ
bo·lha,adjetivo,bˈo.ʎɐ
bo·lhão,nome masculino,bu.ʎˈɐ̃w
bo·lhar,verbo,bu.ʎˈaɾ
bo·lho·so,adjetivo,bu.ʎˈo.zu
bó·li·de,nome feminino,bˈɔ.li.dɨ ou bˈɔ.li.dɨ
bó·li·do,nome masculino,bˈɔ.li.du
bo·li·na,nome feminino,bu.lˈi.nɐ
bo·li·nar,verbo,bu.li.nˈaɾ
bo·li·nha,nome feminino,bɔ.lˈi.ɲɐ
bo·li·nho,nome masculino,bu.lˈi.ɲu
bo·lí·var,nome masculino,bu.lˈi.vɐɾ
bo·li·vi·a·na,nome feminino,bu.li.vjˈɐ.nɐ
bo·li·vi·a·no,adjetivo,bu.li.vjˈɐ.nu
bo·li·vi·a·no,nome masculino,bu.li.vjˈɐ.nu
bo·lo,nome masculino,bˈo.lu
bo·lo-rei,nome masculino,bˌo.lu.ʀˈɐj
bo·lo·nhês,nome masculino,bu.lu.ɲˈeʃ
bo·lo·nhês,adjetivo,bu.lu.ɲˈeʃ
bo·lo·nhe·sa,nome feminino,bu.lu.ɲˈe.zɐ
bo·lor,nome masculino,bu.lˈoɾ
bo·lo·ren·to,adjetivo,bu.lu.ɾˈẽ.tu
bo·lo·ta,nome feminino,bu.lˈɔ.tɐ
bol·sa,nome feminino,bˈoɫ.sɐ
bol·sar,verbo,boɫ.sˈaɾ
bol·sei·ra,nome feminino,boɫ.sˈɐj.ɾɐ
bol·sei·ro,nome masculino,boɫ.sˈɐj.ɾu
bol·sei·ro,adjetivo,boɫ.sˈɐj.ɾu
bol·si·nho,nome masculino,boɫ.sˈi.ɲu
bol·sis·ta,adjetivo,boɫ.sˈiʃ.tɐ
bol·sis·ta,nome masculino,boɫ.sˈiʃ.tɐ
bol·sis·ta,nome feminino,boɫ.sˈiʃ.tɐ
bol·so,nome masculino,bˈoɫ.su
bom,nome masculino,bˈõ
bom,adjetivo,bˈõ
bom-no·me,nome masculino,bˌõ.nˈo.mɨ
bom-tom,nome masculino,bˌõ.tˈõ
bom·ba,nome feminino,bˈõ.bɐ
bom·ba-re·ló·gi·o,nome feminino,bˌõ.bɐ.ʀɨ.lˈɔ.ʒju
bom·ba·chas,nome feminino,bõ.bˈa.ʃɐʃ
bom·ba·da,nome feminino,bõ.bˈa.dɐ
bom·ba·gem,nome feminino,bõ.bˈa.ʒɐ̃j
bom·bar,verbo,bõ.bˈaɾ
bom·bar·da,nome feminino,bõ.bˈaɾ.dɐ
bom·bar·de·a·do,adjetivo,bõ.bɐɾ.djˈa.du
bom·bar·de·a·men·to,nome masculino,bõ.bɐɾ.djɐ.mˈẽ.tu
bom·bar·de·ar,verbo,bõ.bɐɾ.djˈaɾ
bom·bar·dei·o,nome masculino,bõ.bɐɾ.dˈɐj.u
bom·bar·dei·ro,adjetivo,bõ.bɐɾ.dˈɐj.ɾu
bom·bar·dei·ro,nome masculino,bõ.bɐɾ.dˈɐj.ɾu
bom·bar·di·no,nome masculino,bõ.bɐɾ.dˈi.nu
bom·bar·ra·len·se,nome masculino,bõ.bɐ.ʀɐ.lˈẽ.sɨ
bom·bar·ra·len·se,adjetivo,bõ.bɐ.ʀɐ.lˈẽ.sɨ
bom·bar·ra·len·se,nome feminino,bõ.bɐ.ʀɐ.lˈẽ.sɨ
bom·bas·ti·ca·men·te,advérbio,bõ.bɐʃ.ti.kɐ.mˈẽ.tɨ
bom·bás·ti·co,adjetivo,bõ.bˈaʃ.ti.ku
bom·ba·zi·na,nome feminino,bõ.bɐ.zˈi.nɐ
bom·be·a·do,adjetivo,bõ.bjˈa.du
bom·be·a·men·to,nome masculino,bõ.bjɐ.mˈẽ.tu
bom·be·ar,verbo,bõ.bjˈaɾ
bom·bei·ro,nome masculino,bõ.bˈɐj.ɾu
bom·bis·ta,adjetivo,bõ.bˈiʃ.tɐ
bom·bis·ta,nome masculino,bõ.bˈiʃ.tɐ
bom·bis·ta,nome feminino,bõ.bˈiʃ.tɐ
bom·bo,nome masculino,bˈõ.bu
bom·bo·lom,nome masculino,bõ.bu.lˈõ
bom·bom,nome masculino,bõ.bˈõ
bom·bor·do,nome masculino,bõ.bˈɔɾ.du
bo·na·chei·rão,adjetivo,bu.nɐ.ʃɐj.ɾˈɐ̃w
bo·na·chei·rão,nome masculino,bu.nɐ.ʃɐj.ɾˈɐ̃w
bo·na·chei·ro·na,nome feminino,bu.nɐ.ʃɐj.ɾˈo.nɐ
bo·na·cho,adjetivo,bu.nˈa.ʃu
bo·na·cho,nome masculino,bu.nˈa.ʃu
